Loading repository data...
Warning: Repository 'openSUSE-Leap-42.1-Update' appears to be outdated. Consider using a different mirror or server.
Reading installed packages...

S | Name                                                   | Summary                                                                            | Type       
  | libpolkit-gtk-mate-1-0                                 | MATE authentification agent shared libraries                                       | package    
  | libpolkit-gtk-mate-1-0-32bit                           | MATE authentification agent shared libraries                                       | package    
  | libqt5-qtbase-platformtheme-gtk2                       | Qt 5 gtk2 plugin                                                                   | package    
i | libreoffice-gtk3                                       | Gtk3 interface for LibreOffice                                                     | package    
  | libspice-client-gtk-2_0-4                              | Gtk client and libraries for SPICE remote desktop servers                          | package    
i | libspice-client-gtk-3_0-4                              | Gtk client and libraries for SPICE remote desktop servers                          | package    
  | libtomoe-gtk0                                          | TOMOE GTK+ library                                                                 | package    
  | libunity-gtk-parser-devel                              | Development files of libunity-gtk-parser                                           | package    
  | libunity-gtk2-parser0                                  | GtkMenuShell to GMenuModel parser                                                  | package    
  | libunity-gtk2-parser0-32bit                            | GtkMenuShell to GMenuModel parser                                                  | package    
  | libunity-gtk3-parser0                                  | GtkMenuShell to GMenuModel parser                                                  | package    
  | libunity-gtk3-parser0-32bit                            | GtkMenuShell to GMenuModel parser                                                  | package    
i | libwebkit2gtk-4_0-37                                   | Library for rendering web content, GTK+ Port                                       | package    
  | libwebkit2gtk-4_0-37-32bit                             | Library for rendering web content, GTK+ Port                                       | package    
i | libwebkit2gtk3-lang                                    | Languages for package webkit2gtk3                                                  | package    
i | libwebkitgtk-1_0-0                                     | Library for rendering web content, GTK+ Port                                       | package    
i | libwebkitgtk-1_0-0-32bit                               | Library for rendering web content, GTK+ Port                                       | package    
i | libwebkitgtk-3_0-0                                     | Library for rendering web content, GTK+ Port                                       | package    
  | libwebkitgtk-3_0-0-32bit                               | Library for rendering web content, GTK+ Port                                       | package    
i | libwebkitgtk-devel                                     | Library for rendering web content, GTK+ Port                                       | package    
i | libwebkitgtk2-lang                                     | Languages for package webkitgtk                                                    | package    
i | libwebkitgtk3-devel                                    | Library for rendering web content, GTK+ Port                                       | package    
i | libwebkitgtk3-lang                                     | Languages for package webkitgtk3                                                   | package    
  | libwx_gtk2_adv-2_8-0-compat-lib-wxcontainer            | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2_adv-2_8-0-wxcontainer                       | wxWidgets Library                                                                  | package    
  | libwx_gtk2_adv-2_8-0-wxcontainer-32bit                 | wxWidgets Library                                                                  | package    
  | libwx_gtk2_aui-2_8-0-compat-lib-wxcontainer            | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2_aui-2_8-0-wxcontainer                       | wxWidgets Library                                                                  | package    
  | libwx_gtk2_aui-2_8-0-wxcontainer-32bit                 | wxWidgets Library                                                                  | package    
  | libwx_gtk2_core-2_8-0-compat-lib-wxcontainer           | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2_core-2_8-0-wxcontainer                      | wxWidgets Library                                                                  | package    
  | libwx_gtk2_core-2_8-0-wxcontainer-32bit                | wxWidgets Library                                                                  | package    
  | libwx_gtk2_fl-2_8-0-compat-lib-wxcontainer             | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2_fl-2_8-0-wxcontainer                        | wxWidgets Library                                                                  | package    
  | libwx_gtk2_fl-2_8-0-wxcontainer-32bit                  | wxWidgets Library                                                                  | package    
  | libwx_gtk2_gizmos-2_8-0-compat-lib-wxcontainer         | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2_gizmos-2_8-0-wxcontainer                    | wxWidgets Library                                                                  | package    
  | libwx_gtk2_gizmos-2_8-0-wxcontainer-32bit              | wxWidgets Library                                                                  | package    
  | libwx_gtk2_gizmos_xrc-2_8-0-compat-lib-wxcontainer     | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2_gizmos_xrc-2_8-0-wxcontainer                | wxWidgets Library                                                                  | package    
  | libwx_gtk2_gizmos_xrc-2_8-0-wxcontainer-32bit          | wxWidgets Library                                                                  | package    
  | libwx_gtk2_gl-2_8-0-compat-lib-wxcontainer             | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2_gl-2_8-0-wxcontainer                        | wxWidgets Library                                                                  | package    
  | libwx_gtk2_gl-2_8-0-wxcontainer-32bit                  | wxWidgets Library                                                                  | package    
  | libwx_gtk2_html-2_8-0-compat-lib-wxcontainer           | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2_html-2_8-0-wxcontainer                      | wxWidgets Library                                                                  | package    
  | libwx_gtk2_html-2_8-0-wxcontainer-32bit                | wxWidgets Library                                                                  | package    
  | libwx_gtk2_media-2_8-0-compat-lib-wxcontainer          | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2_media-2_8-0-wxcontainer                     | wxWidgets Library                                                                  | package    
  | libwx_gtk2_media-2_8-0-wxcontainer-32bit               | wxWidgets Library                                                                  | package    
  | libwx_gtk2_mmedia-2_8-0-compat-lib-wxcontainer         | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2_mmedia-2_8-0-wxcontainer                    | wxWidgets Library                                                                  | package    
  | libwx_gtk2_mmedia-2_8-0-wxcontainer-32bit              | wxWidgets Library                                                                  | package    
  | libwx_gtk2_ogl-2_8-0-compat-lib-wxcontainer            | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2_ogl-2_8-0-wxcontainer                       | wxWidgets Library                                                                  | package    
  | libwx_gtk2_ogl-2_8-0-wxcontainer-32bit                 | wxWidgets Library                                                                  | package    
  | libwx_gtk2_plot-2_8-0-compat-lib-wxcontainer           | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2_plot-2_8-0-wxcontainer                      | wxWidgets Library                                                                  | package    
  | libwx_gtk2_plot-2_8-0-wxcontainer-32bit                | wxWidgets Library                                                                  | package    
  | libwx_gtk2_qa-2_8-0-compat-lib-wxcontainer             | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2_qa-2_8-0-wxcontainer                        | wxWidgets Library                                                                  | package    
  | libwx_gtk2_qa-2_8-0-wxcontainer-32bit                  | wxWidgets Library                                                                  | package    
  | libwx_gtk2_richtext-2_8-0-compat-lib-wxcontainer       | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2_richtext-2_8-0-wxcontainer                  | wxWidgets Library                                                                  | package    
  | libwx_gtk2_richtext-2_8-0-wxcontainer-32bit            | wxWidgets Library                                                                  | package    
  | libwx_gtk2_stc-2_8-0-compat-lib-wxcontainer            | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2_stc-2_8-0-wxcontainer                       | wxWidgets Library                                                                  | package    
  | libwx_gtk2_stc-2_8-0-wxcontainer-32bit                 | wxWidgets Library                                                                  | package    
  | libwx_gtk2_svg-2_8-0-compat-lib-wxcontainer            | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2_svg-2_8-0-wxcontainer                       | wxWidgets Library                                                                  | package    
  | libwx_gtk2_svg-2_8-0-wxcontainer-32bit                 | wxWidgets Library                                                                  | package    
  | libwx_gtk2_xrc-2_8-0-compat-lib-wxcontainer            | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2_xrc-2_8-0-wxcontainer                       | wxWidgets Library                                                                  | package    
  | libwx_gtk2_xrc-2_8-0-wxcontainer-32bit                 | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_adv-2_8-0-compat-lib-stl                   | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_adv-2_8-0-compat-lib-wxcontainer           | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_adv-2_8-0-compat-lib-wxcontainer24c        | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_adv-2_8-0-stl                              | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_adv-2_8-0-stl-32bit                        | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_adv-2_8-0-wxcontainer                      | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_adv-2_8-0-wxcontainer-32bit                | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_adv-2_8-0-wxcontainer24c                   | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_adv-2_8-0-wxcontainer24c-32bit             | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_adv-suse-nostl1                            | wxWidgets Library                                                                  | package    
i | libwx_gtk2u_adv-suse1                                  | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_adv-suse1-32bit                            | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_aui-2_8-0-compat-lib-stl                   | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_aui-2_8-0-compat-lib-wxcontainer           | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_aui-2_8-0-compat-lib-wxcontainer24c        | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_aui-2_8-0-stl                              | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_aui-2_8-0-stl-32bit                        | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_aui-2_8-0-wxcontainer                      | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_aui-2_8-0-wxcontainer-32bit                | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_aui-2_8-0-wxcontainer24c                   | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_aui-2_8-0-wxcontainer24c-32bit             | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_aui-suse-nostl1                            | wxWidgets Library                                                                  | package    
i | libwx_gtk2u_aui-suse1                                  | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_aui-suse1-32bit                            | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_core-2_8-0-compat-lib-stl                  | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_core-2_8-0-compat-lib-wxcontainer          | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_core-2_8-0-compat-lib-wxcontainer24c       | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_core-2_8-0-stl                             | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_core-2_8-0-stl-32bit                       | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_core-2_8-0-wxcontainer                     | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_core-2_8-0-wxcontainer-32bit               | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_core-2_8-0-wxcontainer24c                  | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_core-2_8-0-wxcontainer24c-32bit            | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_core-suse-nostl1                           | wxWidgets Library                                                                  | package    
i | libwx_gtk2u_core-suse1                                 | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_core-suse1-32bit                           | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_fl-2_8-0-compat-lib-wxcontainer            | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_fl-2_8-0-compat-lib-wxcontainer24c         | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_fl-2_8-0-wxcontainer                       | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_fl-2_8-0-wxcontainer-32bit                 | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_fl-2_8-0-wxcontainer24c                    | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_fl-2_8-0-wxcontainer24c-32bit              | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gizmos-2_8-0-compat-lib-stl                | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_gizmos-2_8-0-compat-lib-wxcontainer        | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_gizmos-2_8-0-compat-lib-wxcontainer24c     | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_gizmos-2_8-0-stl                           | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gizmos-2_8-0-stl-32bit                     | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gizmos-2_8-0-wxcontainer                   | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gizmos-2_8-0-wxcontainer-32bit             | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gizmos-2_8-0-wxcontainer24c                | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gizmos-2_8-0-wxcontainer24c-32bit          | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gizmos_xrc-2_8-0-compat-lib-stl            | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_gizmos_xrc-2_8-0-compat-lib-wxcontainer    | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_gizmos_xrc-2_8-0-compat-lib-wxcontainer24c | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_gizmos_xrc-2_8-0-stl                       | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gizmos_xrc-2_8-0-stl-32bit                 | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gizmos_xrc-2_8-0-wxcontainer               | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gizmos_xrc-2_8-0-wxcontainer-32bit         | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gizmos_xrc-2_8-0-wxcontainer24c            | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gizmos_xrc-2_8-0-wxcontainer24c-32bit      | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gl-2_8-0-compat-lib-stl                    | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_gl-2_8-0-compat-lib-wxcontainer            | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_gl-2_8-0-compat-lib-wxcontainer24c         | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_gl-2_8-0-stl                               | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gl-2_8-0-stl-32bit                         | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gl-2_8-0-wxcontainer                       | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gl-2_8-0-wxcontainer-32bit                 | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gl-2_8-0-wxcontainer24c                    | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gl-2_8-0-wxcontainer24c-32bit              | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gl-suse-nostl1                             | wxWidgets Library                                                                  | package    
i | libwx_gtk2u_gl-suse1                                   | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_gl-suse1-32bit                             | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_html-2_8-0-compat-lib-stl                  | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_html-2_8-0-compat-lib-wxcontainer          | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_html-2_8-0-compat-lib-wxcontainer24c       | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_html-2_8-0-stl                             | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_html-2_8-0-stl-32bit                       | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_html-2_8-0-wxcontainer                     | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_html-2_8-0-wxcontainer-32bit               | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_html-2_8-0-wxcontainer24c                  | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_html-2_8-0-wxcontainer24c-32bit            | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_html-suse-nostl1                           | wxWidgets Library                                                                  | package    
i | libwx_gtk2u_html-suse1                                 | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_html-suse1-32bit                           | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_media-2_8-0-compat-lib-stl                 | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_media-2_8-0-compat-lib-wxcontainer         | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_media-2_8-0-compat-lib-wxcontainer24c      | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_media-2_8-0-stl                            | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_media-2_8-0-stl-32bit                      | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_media-2_8-0-wxcontainer                    | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_media-2_8-0-wxcontainer-32bit              | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_media-2_8-0-wxcontainer24c                 | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_media-2_8-0-wxcontainer24c-32bit           | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_media-suse-nostl1                          | wxWidgets Library                                                                  | package    
i | libwx_gtk2u_media-suse1                                | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_media-suse1-32bit                          | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_mmedia-2_8-0-compat-lib-stl                | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_mmedia-2_8-0-compat-lib-wxcontainer        | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_mmedia-2_8-0-compat-lib-wxcontainer24c     | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_mmedia-2_8-0-stl                           | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_mmedia-2_8-0-stl-32bit                     | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_mmedia-2_8-0-wxcontainer                   | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_mmedia-2_8-0-wxcontainer-32bit             | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_mmedia-2_8-0-wxcontainer24c                | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_mmedia-2_8-0-wxcontainer24c-32bit          | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_ogl-2_8-0-compat-lib-wxcontainer           | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_ogl-2_8-0-compat-lib-wxcontainer24c        | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_ogl-2_8-0-wxcontainer                      | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_ogl-2_8-0-wxcontainer-32bit                | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_ogl-2_8-0-wxcontainer24c                   | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_ogl-2_8-0-wxcontainer24c-32bit             | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_plot-2_8-0-compat-lib-stl                  | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_plot-2_8-0-compat-lib-wxcontainer          | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_plot-2_8-0-compat-lib-wxcontainer24c       | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_plot-2_8-0-stl                             | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_plot-2_8-0-stl-32bit                       | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_plot-2_8-0-wxcontainer                     | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_plot-2_8-0-wxcontainer-32bit               | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_plot-2_8-0-wxcontainer24c                  | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_plot-2_8-0-wxcontainer24c-32bit            | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_propgrid-suse-nostl1                       | wxWidgets Library                                                                  | package    
i | libwx_gtk2u_propgrid-suse1                             | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_propgrid-suse1-32bit                       | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_qa-2_8-0-compat-lib-stl                    | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_qa-2_8-0-compat-lib-wxcontainer            | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_qa-2_8-0-compat-lib-wxcontainer24c         | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_qa-2_8-0-stl                               | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_qa-2_8-0-stl-32bit                         | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_qa-2_8-0-wxcontainer                       | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_qa-2_8-0-wxcontainer-32bit                 | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_qa-2_8-0-wxcontainer24c                    | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_qa-2_8-0-wxcontainer24c-32bit              | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_qa-suse-nostl1                             | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_qa-suse1                                   | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_qa-suse1-32bit                             | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_ribbon-suse-nostl1                         | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_ribbon-suse1                               | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_ribbon-suse1-32bit                         | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_richtext-2_8-0-compat-lib-stl              | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_richtext-2_8-0-compat-lib-wxcontainer      | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_richtext-2_8-0-compat-lib-wxcontainer24c   | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_richtext-2_8-0-stl                         | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_richtext-2_8-0-stl-32bit                   | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_richtext-2_8-0-wxcontainer                 | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_richtext-2_8-0-wxcontainer-32bit           | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_richtext-2_8-0-wxcontainer24c              | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_richtext-2_8-0-wxcontainer24c-32bit        | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_richtext-suse-nostl1                       | wxWidgets Library                                                                  | package    
i | libwx_gtk2u_richtext-suse1                             | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_richtext-suse1-32bit                       | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_stc-2_8-0-compat-lib-stl                   | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_stc-2_8-0-compat-lib-wxcontainer           | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_stc-2_8-0-compat-lib-wxcontainer24c        | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_stc-2_8-0-stl                              | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_stc-2_8-0-stl-32bit                        | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_stc-2_8-0-wxcontainer                      | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_stc-2_8-0-wxcontainer-32bit                | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_stc-2_8-0-wxcontainer24c                   | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_stc-2_8-0-wxcontainer24c-32bit             | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_stc-suse-nostl1                            | wxWidgets Library                                                                  | package    
i | libwx_gtk2u_stc-suse1                                  | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_stc-suse1-32bit                            | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_svg-2_8-0-compat-lib-stl                   | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_svg-2_8-0-compat-lib-wxcontainer           | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_svg-2_8-0-compat-lib-wxcontainer24c        | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_svg-2_8-0-stl                              | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_svg-2_8-0-stl-32bit                        | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_svg-2_8-0-wxcontainer                      | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_svg-2_8-0-wxcontainer-32bit                | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_svg-2_8-0-wxcontainer24c                   | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_svg-2_8-0-wxcontainer24c-32bit             | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_webview-suse-nostl1                        | wxWidgets Library                                                                  | package    
i | libwx_gtk2u_webview-suse1                              | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_webview-suse1-32bit                        | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_xrc-2_8-0-compat-lib-stl                   | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_xrc-2_8-0-compat-lib-wxcontainer           | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_xrc-2_8-0-compat-lib-wxcontainer24c        | wxWidgets Library Compatibility Virtual Package                                    | package    
  | libwx_gtk2u_xrc-2_8-0-stl                              | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_xrc-2_8-0-stl-32bit                        | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_xrc-2_8-0-wxcontainer                      | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_xrc-2_8-0-wxcontainer-32bit                | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_xrc-2_8-0-wxcontainer24c                   | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_xrc-2_8-0-wxcontainer24c-32bit             | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_xrc-suse-nostl1                            | wxWidgets Library                                                                  | package    
i | libwx_gtk2u_xrc-suse1                                  | wxWidgets Library                                                                  | package    
  | libwx_gtk2u_xrc-suse1-32bit                            | wxWidgets Library                                                                  | package    
i | libwx_gtk3u_adv-suse1                                  | wxWidgets Library                                                                  | package    
i | libwx_gtk3u_aui-suse1                                  | wxWidgets Library                                                                  | package    
i | libwx_gtk3u_core-suse1                                 | wxWidgets Library                                                                  | package    
i | libwx_gtk3u_gl-suse1                                   | wxWidgets Library                                                                  | package    
i | libwx_gtk3u_html-suse1                                 | wxWidgets Library                                                                  | package    
i | libwx_gtk3u_media-suse1                                | wxWidgets Library                                                                  | package    
i | libwx_gtk3u_propgrid-suse1                             | wxWidgets Library                                                                  | package    
i | libwx_gtk3u_qa-suse1                                   | wxWidgets Library                                                                  | package    
i | libwx_gtk3u_ribbon-suse1                               | wxWidgets Library                                                                  | package    
i | libwx_gtk3u_richtext-suse1                             | wxWidgets Library                                                                  | package    
i | libwx_gtk3u_stc-suse1                                  | wxWidgets Library                                                                  | package    
i | libwx_gtk3u_webview-suse1                              | wxWidgets Library                                                                  | package    
i | libwx_gtk3u_xrc-suse1                                  | wxWidgets Library                                                                  | package    
  | libzbargtk-devel                                       | Development environment for the ZBar Gtk bindings library                          | package    
  | libzbargtk0                                            | ZBar Gtk bindings                                                                  | package    
  | libzbargtk0-32bit                                      | ZBar Gtk bindings                                                                  | package    
  | libzbargtk0-debuginfo                                  | Debug information for package libzbargtk0                                          | package    
  | lightdm-gtk-greeter                                    | Simple display manager (GTK+ greeter)                                              | package    
  | lightdm-gtk-greeter-branding-openSUSE                  | openSUSE branding of lightdm-gtk-greeter                                           | package    
  | lightdm-gtk-greeter-branding-upstream                  | Upstream branding of lightdm-gtk-greeter                                           | package    
  | lightdm-gtk-greeter-lang                               | Languages for package lightdm-gtk-greeter                                          | package    
