Loading repository data...
Warning: Repository 'openSUSE-Leap-42.1-Update' appears to be outdated. Consider using a different mirror or server.
Reading installed packages...

S | Name                                                   | Summary                                                                            | Type       
  | gtk2-engine-clearlooks                                 | Clearlooks GTK+ 2 Theme Engine                                                     | package    
  | gtk2-engine-clearlooks-32bit                           | Clearlooks GTK+ 2 Theme Engine                                                     | package    
  | gtk2-engine-crux                                       | Crux GTK+ 2 Theme Engine                                                           | package    
  | gtk2-engine-crux-32bit                                 | Crux GTK+ 2 Theme Engine                                                           | package    
  | gtk2-engine-equinox                                    | Equinox GTK+ Theme Engine                                                          | package    
  | gtk2-engine-glide                                      | Glide GTK+ 2 Theme Engine                                                          | package    
  | gtk2-engine-glide-32bit                                | Glide GTK+ 2 Theme Engine                                                          | package    
i | gtk2-engine-hcengine                                   | HC GTK+ 2 Theme Engine                                                             | package    
  | gtk2-engine-industrial                                 | Industrial GTK+ 2 Theme Engine                                                     | package    
  | gtk2-engine-industrial-32bit                           | Industrial GTK+ 2 Theme Engine                                                     | package    
  | gtk2-engine-mist                                       | Mist GTK+ 2 Theme Engine                                                           | package    
  | gtk2-engine-mist-32bit                                 | Mist GTK+ 2 Theme Engine                                                           | package    
  | gtk2-engine-murrine                                    | Murrine GTK Theme Engine                                                           | package    
  | gtk2-engine-murrine-32bit                              | Murrine GTK Theme Engine                                                           | package    
  | gtk2-engine-nimbus                                     | Nimbus GTK Theme Engine                                                            | package    
  | gtk2-engine-nimbus-32bit                               | Nimbus GTK Theme Engine                                                            | package    
  | gtk2-engine-oxygen                                     | Oxygen GTK 2.x Theme Engine                                                        | package    
  | gtk2-engine-oxygen-32bit                               | Oxygen GTK 2.x Theme Engine                                                        | package    
  | gtk2-engine-redmond95                                  | Redmond GTK+ 2 Theme Engine                                                        | package    
  | gtk2-engine-redmond95-32bit                            | Redmond GTK+ 2 Theme Engine                                                        | package    
  | gtk2-engine-thinice                                    | ThinIce GTK+ 2 Theme Engine                                                        | package    
  | gtk2-engine-thinice-32bit                              | ThinIce GTK+ 2 Theme Engine                                                        | package    
  | gtk2-engines                                           | GTK+ 2 Theme Engines                                                               | package    
  | gtk2-engines                                           | GTK+ 2 Theme Engines                                                               | srcpackage 
  | gtk2-engines-devel                                     | Development files for gtk2-engines                                                 | package    
i | gtk2-immodule-amharic                                  | The GTK+ toolkit library (version 2) -- Amharic Input Method                       | package    
  | gtk2-immodule-amharic-32bit                            | The GTK+ toolkit library (version 2) -- Amharic Input Method                       | package    
i | gtk2-immodule-inuktitut                                | The GTK+ toolkit library (version 2) -- Inuktitut Input Method                     | package    
  | gtk2-immodule-inuktitut-32bit                          | The GTK+ toolkit library (version 2) -- Inuktitut Input Method                     | package    
  | gtk2-immodule-multipress                               | The GTK+ toolkit library (version 2) -- Multipress Input Method                    | package    
  | gtk2-immodule-multipress-32bit                         | The GTK+ toolkit library (version 2) -- Multipress Input Method                    | package    
i | gtk2-immodule-thai                                     | The GTK+ toolkit library (version 2) -- Thai-Lao Input Method                      | package    
  | gtk2-immodule-thai-32bit                               | The GTK+ toolkit library (version 2) -- Thai-Lao Input Method                      | package    
i | gtk2-immodule-vietnamese                               | The GTK+ toolkit library (version 2) -- Vietnamese Input Method                    | package    
  | gtk2-immodule-vietnamese-32bit                         | The GTK+ toolkit library (version 2) -- Vietnamese Input Method                    | package    
  | gtk2-immodule-xim                                      | The GTK+ toolkit library (version 2) -- X Input Method                             | package    
  | gtk2-immodule-xim-32bit                                | The GTK+ toolkit library (version 2) -- X Input Method                             | package    
  | gtk2-immodules-tigrigna                                | The GTK+ toolkit library (version 2) -- Tigrigna Input Methods                     | package    
  | gtk2-immodules-tigrigna-32bit                          | The GTK+ toolkit library (version 2) -- Tigrigna Input Methods                     | package    
i | gtk2-lang                                              | Languages for package gtk2                                                         | package    
i | gtk2-metatheme-adwaita                                 | Adwaita GNOME Theme -- GTK+ 2 Support                                              | package    
  | gtk2-metatheme-ambiance                                | Ambiance Gtk Theme -- GTK+ 2 Support                                               | package    
  | gtk2-metatheme-ambiant-mate                            | Ambiant-MATE Gtk Theme -- GTK+ 2 Support                                           | package    
  | gtk2-metatheme-arc                                     | Arc GTK+2 Theme                                                                    | package    
  | gtk2-metatheme-bluebird                                | A Clean Minimalistic Theme for GNOME, XFCE, GTK+ 2 and 3 -- GTK+ 2 Support         | package    
  | gtk2-metatheme-breeze                                  | GTK+ theme matching KDE's Breeze -- GTK+ 2 Support                                 | package    
  | gtk2-metatheme-elementary                              | The elementary GTK Theme -- GTK+ 2 Support                                         | package    
  | gtk2-metatheme-equinox                                 | Equinox Metathemes for GTK+                                                        | package    
  | gtk2-metatheme-gilouche                                | openSUSE themes and metathemes for gtk2 and metacity                               | package    
  | gtk2-metatheme-greybird                                | A Clean Minimalistic Theme for GNOME, XFCE, GTK+ 2 and 3 -- GTK+ 2 Support         | package    
  | gtk2-metatheme-industrial                              | Industrial Metatheme for GNOME                                                     | package    
  | gtk2-metatheme-nimbus                                  | Nimbus Metatheme for GNOME                                                         | package    
  | gtk2-metatheme-numix                                   | Numix GTK+2 Theme                                                                  | package    
  | gtk2-metatheme-radiance                                | Radiance Gtk Theme -- GTK+ 2 Support                                               | package    
  | gtk2-metatheme-radiant-mate                            | Radiant-MATE Gtk Theme -- GTK+ 2 Support                                           | package    
  | gtk2-metatheme-sonar                                   | GTK+ and Metacity Sonar Theme                                                      | package    
  | gtk2-metatheme-vertex                                  | Vertex GTK+2 Theme                                                                 | package    
  | gtk2-metatheme-yuyo                                    | Yuyo Gtk Theme -- GTK+ 2 Support                                                   | package    
  | gtk2-theme-clearlooks                                  | Clearlooks Theme for GTK+ 2                                                        | package    
  | gtk2-theme-crux                                        | Crux Theme for GTK+ 2                                                              | package    
  | gtk2-theme-industrial                                  | Industrial Theme for GTK+ 2                                                        | package    
  | gtk2-theme-mist                                        | Mist Theme for GTK+ 2                                                              | package    
  | gtk2-theme-oxygen                                      | Oxygen GTK 2.x Theme                                                               | package    
  | gtk2-theme-redmond95                                   | Redmond Theme for GTK+ 2                                                           | package    
  | gtk2-theme-thinice                                     | ThinIce Theme for GTK+ 2                                                           | package    
  | gtk2-themes                                            | Additional Themes and Engines for GTK2                                             | package    
i | gtk2-theming-engine-adwaita                            | Adwaita GTK+ Theming Engine                                                        | package    
  | gtk2-theming-engine-adwaita-32bit                      | Adwaita GTK+ Theming Engine                                                        | package    
i | gtk2-tools                                             | The GTK+ toolkit library (version 2) -- Tools                                      | package    
i | gtk2-tools-32bit                                       | The GTK+ toolkit library (version 2) -- Tools                                      | package    
  | gtk2hs-buildtools                                      | Tools to build the Gtk2Hs suite of User Interface libraries                        | package    
  | gtk3                                                   | The GTK+ toolkit library (version 3)                                               | srcpackage 
i | gtk3-branding-openSUSE                                 | The GTK+ toolkit library (version 3) -- openSUSE theme configuration               | package    
  | gtk3-branding-upstream                                 | The GTK+ toolkit library (version 3) -- Upstream theme configuration               | package    
i | gtk3-data                                              | The GTK+ toolkit library (version 3) -- Data Files                                 | package    
i | gtk3-devel                                             | The GTK+ toolkit library (version 3) -- Development Files                          | package    
  | gtk3-devel-32bit                                       | The GTK+ toolkit library (version 3) -- Development Files                          | package    
  | gtk3-engine-oxygen                                     | Oxygen GTK 3.x Theme Engine                                                        | package    
  | gtk3-engine-oxygen-32bit                               | Oxygen GTK 3.x Theme Engine                                                        | package    
  | gtk3-engine-unico                                      | Gtk3 theming engine                                                                | package    
i | gtk3-immodule-amharic                                  | The GTK+ toolkit library (version 3) -- Amharic Input Method                       | package    
  | gtk3-immodule-amharic-32bit                            | The GTK+ toolkit library (version 3) -- Amharic Input Method                       | package    
  | gtk3-immodule-broadway                                 | The GTK+ toolkit library (version 3) -- Broadway Input Method                      | package    
i | gtk3-immodule-inuktitut                                | The GTK+ toolkit library (version 3) -- Inuktitut Input Method                     | package    
  | gtk3-immodule-inuktitut-32bit                          | The GTK+ toolkit library (version 3) -- Inuktitut Input Method                     | package    
  | gtk3-immodule-multipress                               | The GTK+ toolkit library (version 3) -- Multipress Input Method                    | package    
  | gtk3-immodule-multipress-32bit                         | The GTK+ toolkit library (version 3) -- Multipress Input Method                    | package    
i | gtk3-immodule-thai                                     | The GTK+ toolkit library (version 3) -- Thai-Lao Input Method                      | package    
  | gtk3-immodule-thai-32bit                               | The GTK+ toolkit library (version 3) -- Thai-Lao Input Method                      | package    
i | gtk3-immodule-vietnamese                               | The GTK+ toolkit library (version 3) -- Vietnamese Input Method                    | package    
  | gtk3-immodule-vietnamese-32bit                         | The GTK+ toolkit library (version 3) -- Vietnamese Input Method                    | package    
  | gtk3-immodule-xim                                      | The GTK+ toolkit library (version 3) -- X Input Method                             | package    
  | gtk3-immodule-xim-32bit                                | The GTK+ toolkit library (version 3) -- X Input Method                             | package    
  | gtk3-immodules-tigrigna                                | The GTK+ toolkit library (version 3) -- Tigrigna Input Methods                     | package    
  | gtk3-immodules-tigrigna-32bit                          | The GTK+ toolkit library (version 3) -- Tigrigna Input Methods                     | package    
i | gtk3-lang                                              | Languages for package gtk3                                                         | package    
